#	3	21062019
# IP CIDR	IP range	CtryWhoCode	ASN	Uncert	Latitude	Longitude	WhoCntry	Org
# Begin IPv6 private address space
2001:43f8:0010::/48	2001:43f8:0010::-2001:43f8:10:ffff:ffff:ffff:ffff:ffff	0x730011f7	0	-1.0	666.000000	666.000000	ke	KENIC
2001:43f8:20::/48	2001:43f8:20::-2001:43f8:20:ffff:ffff:ffff:ffff:ffff	0xf7002202	0	70.0	-26.202270	28.043630	za	Ubuntunet Alliance For Research and Education Networking
2001:43f8:30::/48	2001:43f8:30::-2001:43f8:30:ffff:ffff:ffff:ffff:ffff	0xf7002568	6968	70.0	-26.202270	28.043630	za	ZA CENTRAL REGISTRY NPC
2001:43f8::/48	2001:43f8::-2001:43f8:0:ffff:ffff:ffff:ffff:ffff	0xe3001f73	0	70.0	-6.823490	39.269510	tz	TISPA - Tanzania Internet Service Providers Association
2001:4400::/48	2001:4400::-2001:4400:0:ffff:ffff:ffff:ffff:ffff	0xa900204f	0	70.0	-36.866670	174.766670	nz	TelstaClear International Network v6 block
2001:440::/32	2001:440::-2001:440:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001e3e	0	70.0	38.968720	-77.341100	us	Sprint
2001:4408::/32	2001:4408::-2001:4408:ffff:ffff:ffff:ffff:ffff:ffff	0x69001674	0	70.0	28.635760	77.224450	in	National Informatics Centre
2001:4410::/32	2001:4410::-2001:4410:ffff:ffff:ffff:ffff:ffff:ffff	0xa9000730	0	70.0	-41.286640	174.775570	nz	Citylink Ltd
2001:4420::/32	2001:4420::-2001:4420:ffff:ffff:ffff:ffff:ffff:ffff	0xe2000dfe	0	70.0	25.047760	121.531850	tw	Government Service Network in Taiwan
2001:4428::/32	2001:4428::-2001:4428:ffff:ffff:ffff:ffff:ffff:ffff	0xa900015a	0	70.0	-41.286640	174.775570	nz	Advanced Computer Solutions
2001:4430::/32	2001:4430::-2001:4430:ffff:ffff:ffff:ffff:ffff:ffff	0x79001279	0	70.0	37.568260	126.977830	kr	LGTELECOM
2001:4438::/32	2001:4438::-2001:4438:ffff:ffff:ffff:ffff:ffff:ffff	0x3100039d	0	70.0	39.907500	116.397230	cn	Beijing Teletron Telecom Engineering Co.
2001:4450::/29	2001:4450::-2001:4457:ffff:ffff:ffff:ffff:ffff:ffff	0xaf00194e	0	70.0	14.550270	121.032690	ph	Philippine Long Distance Telephone Co.
2001:4458::/32	2001:4458::-2001:4458:ffff:ffff:ffff:ffff:ffff:ffff	0x9c0009cf	0	70.0	3.085070	101.532810	my	DiGi Telecommunications Sdn Bhd
2001:4460::/32	2001:4460::-2001:4460:ffff:ffff:ffff:ffff:ffff:ffff	0x72001913	0	70.0	35.689506	139.691700	jp	ParkNet Inc.
2001:4470::/32	2001:4470::-2001:4470:ffff:ffff:ffff:ffff:ffff:ffff	0x9c002013	0	70.0	3.141200	101.686530	my	Telecom Malaysia Berhad
2001:4478::/30	2001:4478::-2001:447b:ffff:ffff:ffff:ffff:ffff:ffff	0x100025d2	0	70.0	-31.950000	115.800000	au	iiNet Limited
2001:4480::/32	2001:4480::-2001:4480:ffff:ffff:ffff:ffff:ffff:ffff	0x5f0006fe	17554	70.0	22.233330	114.116670	hk	Citic Telecom International
2001:448::/32	2001:448::-2001:448:ffff:ffff:ffff:ffff:ffff:ffff	0x9b00224d	0	70.0	19.428470	-99.127660	mx	Universidad Nacional Autonoma de Mexico
2001:4488::/36	2001:4488::-2001:4488:fff:ffff:ffff:ffff:ffff:ffff	0x650018e2	17974	70.0	-6.214620	106.845130	id	PT. TELKOM INDONESIA
2001:4490::/30	2001:4490::-2001:4493:ffff:ffff:ffff:ffff:ffff:ffff	0x6900034a	9829	70.0	19.014410	72.847940	in	BSNL Internet
2001:4498::/32	2001:4498::-2001:4498:ffff:ffff:ffff:ffff:ffff:ffff	0x9c000dd7	0	70.0	3.141200	101.686530	my	Global Transit Communications
2001:44a0::/32	2001:44a0::-2001:44a0:ffff:ffff:ffff:ffff:ffff:ffff	0x72001644	0	70.0	35.689506	139.691700	jp	NTT BUSINESS SOLUTIONS CORPORATION
2001:44a8::/32	2001:44a8::-2001:44a8:ffff:ffff:ffff:ffff:ffff:ffff	0x72001a83	0	70.0	35.069440	134.004440	jp	RELATION Co.
2001:44b0::/32	2001:44b0::-2001:44b0:ffff:ffff:ffff:ffff:ffff:ffff	0x72000618	0	70.0	35.689506	139.691700	jp	CYBERLINKS CO.
2001:44b8::/32	2001:44b8::-2001:44b8:ffff:ffff:ffff:ffff:ffff:ffff	0x100025d2	4739	70.0	-31.950000	115.800000	au	iiNet Limited
2001:44c0::/32	2001:44c0::-2001:44c0:ffff:ffff:ffff:ffff:ffff:ffff	0x690003c3	0	70.0	28.635760	77.224450	in	Bharti Televentures Ltd.
2001:44c8::/32	2001:44c8::-2001:44c8:ffff:ffff:ffff:ffff:ffff:ffff	0xd700005f	0	70.0	18.181900	103.748000	th	ADVANCED WIRELESS NETWORK COMPANY LIMITED
2001:44d0::/28	2001:44d0::-2001:44df:ffff:ffff:ffff:ffff:ffff:ffff	0x79001fd3	0	70.0	37.266667	127.016667	kr	Tbroad Suwon Broadcasting Corporation
2001:44f0::/32	2001:44f0::-2001:44f0:ffff:ffff:ffff:ffff:ffff:ffff	0xe2001fbf	0	70.0	25.047760	121.531850	tw	Taiwan IPv6 Development Program.
2001:4500::/32	2001:4500::-2001:4500:ffff:ffff:ffff:ffff:ffff:ffff	0xe2001665	0	70.0	25.047760	121.531850	tw	National Applied Research Laboratories
2001:450::/32	2001:450::-2001:450:ffff:ffff:ffff:ffff:ffff:ffff	0xe90012f7	3549	70.0	32.509310	-92.119300	us	Level 3 Parent
2001:4508::/32	2001:4508::-2001:4508:ffff:ffff:ffff:ffff:ffff:ffff	0xe200024f	0	70.0	25.047760	121.531850	tw	Asia University
2001:4510::/29	2001:4510::-2001:4517:ffff:ffff:ffff:ffff:ffff:ffff	0x3100039c	0	70.0	39.907500	116.397230	cn	Beijing ShenZhou Greatwall
2001:4528::/30	2001:4528::-2001:452b:ffff:ffff:ffff:ffff:ffff:ffff	0x69001b20	0	70.0	19.014410	72.847940	in	Reliance Communications Limited
2001:4530::/32	2001:4530::-2001:4530:ffff:ffff:ffff:ffff:ffff:ffff	0xa9001478	0	70.0	-40.350000	175.616670	nz	Massey University
2001:4538::/36	2001:4538::-2001:4538:fff:ffff:ffff:ffff:ffff:ffff	0xb00008bd	24440	70.0	33.721480	73.043290	pk	Cyber Internet Services Pakistan
2001:4540::/27	2001:4540::-2001:455f:ffff:ffff:ffff:ffff:ffff:ffff	0xe2001fbe	0	70.0	25.047760	121.531850	tw	Taiwan Fixed Network Co.
2001:4580::/26	2001:4580::-2001:45bf:ffff:ffff:ffff:ffff:ffff:ffff	0xe2001bc5	0	70.0	25.014270	121.467190	tw	SEEDNET
2001:458::/32	2001:458::-2001:458:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001e7b	0	70.0	40.714270	-74.005970	us	Stealth Communications
2001:4600::/44	2001:4600::-2001:4600:f:ffff:ffff:ffff:ffff:ffff	0xa5001f48	2119	70.0	59.267540	10.407620	no	TELENOR-INTERNET
2001:460::/32	2001:460::-2001:460:ffff:ffff:ffff:ffff:ffff:ffff	0xe90006bb	0	70.0	32.509310	-92.119300	us	CenturyLink Communications
2001:468::/32	2001:468::-2001:468:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001134	11537	70.0	42.277560	-83.740880	us	Internet2
2001:470::/32	2001:470::-2001:470:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000f3c	0	70.0	39.043720	-77.487490	us	Hurricane Electric LLC
2001:478::/32	2001:478::-2001:478:ffff:ffff:ffff:ffff:ffff:ffff	0x780001bf	393216	70.0	17.133330	-62.616670	kn	Almond Oil Process
2001:4800::/29	2001:4800::-2001:4807:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001abe	0	70.0	29.515510	-98.380290	us	Rackspace Hosting
2001:480::/32	2001:480::-2001:480:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000ed7	0	70.0	38.704280	-77.227760	us	High Performance Computing
2001:4810::/32	2001:4810::-2001:4810:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000f25	0	70.0	38.894280	-77.431100	us	Hotnic LLC
2001:4818::/32	2001:4818::-2001:4818:ffff:ffff:ffff:ffff:ffff:ffff	0x27001a04	0	70.0	43.700110	-79.416300	ca	Q9 Networks Inc.
2001:4828::/32	2001:4828::-2001:4828:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000700	16942	70.0	36.911240	-80.320050	us	Citizens Telephone Cooperative
2001:4830::/32	2001:4830::-2001:4830:ffff:ffff:ffff:ffff:ffff:ffff	0xe9002104	0	70.0	42.358430	-71.059770	us	TowardEX Technologies International
2001:4838::/32	2001:4838::-2001:4838:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000680	0	70.0	39.043720	-77.487490	us	Carpathia Hosting
2001:4840::/32	2001:4840::-2001:4840:ffff:ffff:ffff:ffff:ffff:ffff	0xe90024f0	0	70.0	34.746480	-92.289590	us	Windstream Communications Inc
2001:4848::/32	2001:4848::-2001:4848:ffff:ffff:ffff:ffff:ffff:ffff	0xe9002421	1421	70.0	38.982230	-94.670790	us	WANSecurity
2001:4850::/32	2001:4850::-2001:4850:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000a9a	0	70.0	35.600950	-82.554020	us	ERC Broadband
2001:4858::/32	2001:4858::-2001:4858:ffff:ffff:ffff:ffff:ffff:ffff	0xe90024d7	32097	70.0	39.099730	-94.578570	us	WholeSale Internet
2001:4860::/32	2001:4860::-2001:4860:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000df8	15169	70.0	37.386050	-122.083850	us	Google LLC
2001:4868::/32	2001:4868::-2001:4868:ffff:ffff:ffff:ffff:ffff:ffff	0xe90013a5	0	70.0	39.043720	-77.487490	us	MCI Communications Services
2001:4870::/31	2001:4870::-2001:4871:ffff:ffff:ffff:ffff:ffff:ffff	0xe9002607	0	70.0	39.613320	-105.016650	us	tw telecom holdings
2001:4878::/32	2001:4878::-2001:4878:ffff:ffff:ffff:ffff:ffff:ffff	0xe900018b	0	70.0	42.375100	-71.105610	us	Akamai Technologies
2001:4888::/32	2001:4888::-2001:4888:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000696	0	70.0	40.667500	-74.655560	us	Cellco Partnership DBA Verizon Wireless
2001:4890::/32	2001:4890::-2001:4890:ffff:ffff:ffff:ffff:ffff:ffff	0xe90018f8	25973	70.0	38.934280	-77.177480	us	PacketExchange
2001:4898::/31	2001:4898::-2001:489a:ffff:ffff:ffff:ffff:ffff:ffff	0xe90014fb	0	70.0	47.673990	-122.121510	us	Microsoft Corporation
2001:489a::/32	2001:4898::-2001:489a:ffff:ffff:ffff:ffff:ffff:ffff	0xe90014fb	0	-1.0	666.000000	666.000000	us	Microsoft Corporation
2001:48a0::/32	2001:48a0::-2001:48a0:ffff:ffff:ffff:ffff:ffff:ffff	0xe90017b9	0	70.0	40.768430	-73.525130	us	OOL Hostmaster
2001:48a8::/32	2001:48a8::-2001:48a8:ffff:ffff:ffff:ffff:ffff:ffff	0xe90014cd	0	70.0	42.277560	-83.740880	us	Merit Network Inc.
2001:48b0::/32	2001:48b0::-2001:48b0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000f89	0	70.0	40.714270	-74.005970	us	IIJ America
2001:48b8::/32	2001:48b8::-2001:48b8:ffff:ffff:ffff:ffff:ffff:ffff	0xe90023f2	0	70.0	39.185660	-78.163330	us	Visual Link
2001:48c0::/32	2001:48c0::-2001:48c0:ffff:ffff:ffff:ffff:ffff:ffff	0xe90009eb	0	70.0	35.282750	-120.659620	us	Digital West Networks
2001:48c8::/32	2001:48c8::-2001:48c8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001118	0	70.0	40.714270	-74.005970	us	Internap Corporation
2001:48d0::/32	2001:48d0::-2001:48d0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001cb3	195	70.0	32.847270	-117.274200	us	San Diego Supercomputer Center
2001:48d8::/32	2001:48d8::-2001:48d8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000457	0	70.0	37.339390	-121.894960	us	Bungi Communications
2001:48e0::/32	2001:48e0::-2001:48e0:ffff:ffff:ffff:ffff:ffff:ffff	0xe90022c0	0	70.0	35.084490	-106.651140	us	University of New Mexico
2001:48e8::/32	2001:48e8::-2001:48e8:ffff:ffff:ffff:ffff:ffff:ffff	0xe90022b3	0	70.0	42.366667	-72.516667	us	University of Massachusetts
2001:48f8::/32	2001:48f8::-2001:48f8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001502	0	70.0	43.549970	-96.700330	us	Midcontinent Communications
2001:4900::/32	2001:4900::-2001:4900:ffff:ffff:ffff:ffff:ffff:ffff	0x27000a38	0	70.0	43.700110	-79.416300	ca	E-Gate Communications Inc.
2001:490::/32	2001:490::-2001:490:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000e50	1248	70.0	41.850030	-87.650050	us	HERE North America LLC
2001:4908::/32	2001:4908::-2001:4908:ffff:ffff:ffff:ffff:ffff:ffff	0xe90024f1	0	70.0	34.746480	-92.289590	us	Windstream Communications LLC
2001:4910::/32	2001:4910::-2001:4910:ffff:ffff:ffff:ffff:ffff:ffff	0x1d001765	0	70.0	32.291490	-64.777970	bm	North Rock Communications Ltd.
2001:4918::/32	2001:4918::-2001:4918:ffff:ffff:ffff:ffff:ffff:ffff	0xe90005f3	7849	70.0	42.587590	-72.599530	us	CROCKER COMMUNICATIONS
2001:4920::/32	2001:4920::-2001:4920:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000397	0	70.0	38.968720	-77.341100	us	Bechtel Corporation
2001:4928::/32	2001:4928::-2001:4928:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000f9f	0	70.0	41.130600	-85.128860	us	INDIGITAL TELECOM
2001:4930::/32	2001:4930::-2001:4930:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001e71	0	70.0	46.877190	-96.789800	us	State of North Dakota
2001:4938::/32	2001:4938::-2001:4938:ffff:ffff:ffff:ffff:ffff:ffff	0x2700170e	0	70.0	43.700110	-79.416300	ca	Neutral Data Centers Corp.
2001:4940::/32	2001:4940::-2001:4940:ffff:ffff:ffff:ffff:ffff:ffff	0xe900251d	0	70.0	43.071760	-70.762550	us	WorldPath Internet Services
2001:4948::/32	2001:4948::-2001:4948:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000195	0	70.0	61.218060	-149.900280	us	Alaska Communications Systems Group
2001:4950::/32	2001:4950::-2001:4950:ffff:ffff:ffff:ffff:ffff:ffff	0xe90001f8	20205	70.0	41.450610	-83.487430	us	Amplex Electric
2001:4958::/32	2001:4958::-2001:4958:ffff:ffff:ffff:ffff:ffff:ffff	0x270003a9	0	70.0	45.411170	-75.698120	ca	Bell Canada
2001:4960::/32	2001:4960::-2001:4960:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001727	32034	70.0	25.774270	-80.193660	us	NewCom International
2001:4968::/32	2001:4968::-2001:4968:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000a0d	30513	70.0	42.788420	-71.200890	us	Dogopoulos
2001:4970::/32	2001:4970::-2001:4970:ffff:ffff:ffff:ffff:ffff:ffff	0xe90020e2	11274	70.0	38.627270	-90.197890	us	TierPoint
2001:4978::/32	2001:4978::-2001:4978:ffff:ffff:ffff:ffff:ffff:ffff	0xe900254d	0	70.0	41.984750	-88.079790	us	YOUR.ORG
2001:4980::/32	2001:4980::-2001:4980:ffff:ffff:ffff:ffff:ffff:ffff	0xe90025d9	0	70.0	44.979970	-93.263840	us	ipHouse
2001:4988::/32	2001:4988::-2001:4988:ffff:ffff:ffff:ffff:ffff:ffff	0xe90024f1	0	70.0	34.746480	-92.289590	us	Windstream Communications LLC
2001:4990::/32	2001:4990::-2001:4990:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000d94	0	70.0	40.279480	-86.510840	us	Geetingsville Telephone Co.
2001:4998::/32	2001:4998::-2001:4998:ffff:ffff:ffff:ffff:ffff:ffff	0xe90017da	10310	70.0	37.368830	-122.036350	us	Oath Holdings Inc.
2001:49a0::/32	2001:49a0::-2001:49a0:ffff:ffff:ffff:ffff:ffff:ffff	0xe90017da	10310	70.0	37.368830	-122.036350	us	Oath Holdings Inc.
2001:49a8::/32	2001:49a8::-2001:49a8:ffff:ffff:ffff:ffff:ffff:ffff	0xe90017da	10310	70.0	37.368830	-122.036350	us	Oath Holdings Inc.
2001:49b0::/32	2001:49b0::-2001:49b0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001c8b	0	70.0	44.311360	-96.798390	us	SWIFTEL COMMUNICATIONS
2001:49b8::/32	2001:49b8::-2001:49b8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001e3b	0	70.0	37.215330	-93.298240	us	SpringNet
2001:49c0::/32	2001:49c0::-2001:49c0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000f5d	0	70.0	35.994030	-78.898620	us	IBM
2001:49c8::/32	2001:49c8::-2001:49c8:ffff:ffff:ffff:ffff:ffff:ffff	0xe90021e6	0	70.0	38.968720	-77.341100	us	US Department of the Interior
2001:49d0::/32	2001:49d0::-2001:49d0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001219	2495	70.0	38.971670	-95.235250	us	Kansas Research and Education Network
2001:49d8::/32	2001:49d8::-2001:49d8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000b4e	0	70.0	40.273700	-76.884420	us	Enterprise Network Services
2001:49e0::/32	2001:49e0::-2001:49e0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001dd1	0	70.0	38.951710	-92.334070	us	Socket Internet Services Corporation
2001:49e8::/32	2001:49e8::-2001:49e8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000789	30008	70.0	32.783060	-96.806670	us	ColoGuys
2001:49f0::/32	2001:49f0::-2001:49f0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000bae	174	70.0	41.850030	-87.650050	us	FDCservers.net
2001:49f8::/32	2001:49f8::-2001:49f8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9001c35	0	70.0	43.613500	-116.203450	us	SOLUTION PRO
2001:4a00::/27	2001:4a00::-2001:4a1f:ffff:ffff:ffff:ffff:ffff:ffff	0x4d001fc3	9105	70.0	53.480950	-2.237430	gb	TalkTalk Communications Limited
2001:4a0::/32	2001:4a0::-2001:4a0:ffff:ffff:ffff:ffff:ffff:ffff	0xe9000381	8134	70.0	46.778540	-88.489020	us	Baraga Telephone Company
2001:4b00::/29	2001:4b00::-2001:4b07:ffff:ffff:ffff:ffff:ffff:ffff	0x2c0020e1	12620	70.0	46.166667	8.800000	ch	Ticinocom SA
2001:4b0::/32	2001:4b0::-2001:4b0:ffff:ffff:ffff:ffff:ffff:ffff	0xe90017da	1668	70.0	40.714270	-74.005970	us	Oath Holdings Inc.
2001:4b08::/32	2001:4b08::-2001:4b08:ffff:ffff:ffff:ffff:ffff:ffff	0x4d001cfd	29452	70.0	51.508530	-0.125740	gb	Secura Hosting Ltd
2001:4b10::/29	2001:4b10::-2001:4b17:ffff:ffff:ffff:ffff:ffff:ffff	0x4d000403	3213	70.0	51.640870	-2.676830	gb	Bogons Ltd
2001:4b18::/32	2001:4b18::-2001:4b18:ffff:ffff:ffff:ffff:ffff:ffff	0x6e00200f	20746	70.0	41.894740	12.483900	it	Telecom Italia S.p.A.
2001:4b20::/48	2001:4b20::-2001:4b20:0:ffff:ffff:ffff:ffff:ffff	0x2c00121a	34288	70.0	47.172420	8.517440	ch	Kantonsschule Zug
2001:4b30::/29	2001:4b30::-2001:4b37:ffff:ffff:ffff:ffff:ffff:ffff	0x4b00170d	9036	70.0	49.900000	2.300000	fr	Neuronnexion
2001:4b38::/48	2001:4b38::-2001:4b38:0:ffff:ffff:ffff:ffff:ffff	0x390025bf	25220	70.0	49.276970	7.116720	de	equada network GmbH
2001:4b40::/32	2001:4b40::-2001:4b40:ffff:ffff:ffff:ffff:ffff:ffff	0x0f0025f9	12895	70.0	48.208490	16.372080	at	s IT Solutions AT Spardat GmbH
2001:4b48::/48	2001:4b48::-2001:4b48:0:ffff:ffff:ffff:ffff:ffff	0x4d00216b	25501	70.0	52.066670	-2.116670	gb	Tuxtel IPv6 Route alpha
2001:4b50::/29	2001:4b50::-2001:4b57:ffff:ffff:ffff:ffff:ffff:ffff	0x17000ab3	0	70.0	50.850450	4.348780	be	EUROCONTROL
2001:4b58::/32	2001:4b58::-2001:4b58:ffff:ffff:ffff:ffff:ffff:ffff	0x19000455	6802	70.0	42.697510	23.324150	bg	Bulgarian Research and Education Network Association
2001:4b60::/32	2001:4b60::-2001:4b60:ffff:ffff:ffff:ffff:ffff:ffff	0x0f000947	28857	70.0	48.208490	16.372080	at	DXC Technology Austria GmbH
2001:4b68::/29	2001:4b68::-2001:4b6f:ffff:ffff:ffff:ffff:ffff:ffff	0x0f000f3f	12635	70.0	47.066670	15.450000	at	Hutchison Drei Austria GmbH
2001:4b70::/29	2001:4b70::-2001:4b77:ffff:ffff:ffff:ffff:ffff:ffff	0x6e00220f	13089	70.0	45.464270	9.189510	it	UniCredit Business Integrated Solutions S.C.p.A.
2001:4b80::/29	2001:4b80::-2001:4b87:ffff:ffff:ffff:ffff:ffff:ffff	0xa5000b13	206557	70.0	69.968870	23.271650	no	Eltele AS
2001:4b8::/32	2001:4b8::-2001:4b8:ffff:ffff:ffff:ffff:ffff:ffff	0xe9002490	14654	70.0	30.267150	-97.743060	us	Wayport
2001:4b88::/48	2001:4b88::-2001:4b88:0:ffff:ffff:ffff:ffff:ffff	0x390020ed	20640	70.0	50.115520	8.684170	de	Titan Networks
2001:4b90::/48	2001:4b90::-2001:4b90:0:ffff:ffff:ffff:ffff:ffff	0x4b0019e4	8784	70.0	48.781980	2.193950	fr	Prosodie
2001:4b98::/48	2001:4b98::-2001:4b98:0:ffff:ffff:ffff:ffff:ffff	0x4b000d01	29169	70.0	48.853410	2.348800	fr	GANDI is an ICANN accredited registrar
2001:4ba0::/29	2001:4ba0::-2001:4ba7:ffff:ffff:ffff:ffff:ffff:ffff	0x390025e1	24961	70.0	51.221720	6.776160	de	myLoc managed IT AG
2001:4ba8::/48	2001:4ba8::-2001:4ba8:0:ffff:ffff:ffff:ffff:ffff	0x38001063	12570	70.0	48.758970	16.882030	cz	ITSELF
2001:4bb0::/48	2001:4bb0::-2001:4bb0:0:ffff:ffff:ffff:ffff:ffff	0x6e001a16	41497	70.0	41.894740	12.483900	it	Qcom spa
2001:4bb8::/29	2001:4bb8::-2001:4bbf:ffff:ffff:ffff:ffff:ffff:ffff	0x0f000032	8447	70.0	48.208490	16.372080	at	A1 Telekom Austria AG
2001:4bc0::/29	2001:4bc0::-2001:4bc7:ffff:ffff:ffff:ffff:ffff:ffff	0x39000afa	42283	70.0	48.047850	11.702240	de	Elaborated Networks GmbH
2001:4bc8::/29	2001:4bc8::-2001:4bcf:ffff:ffff:ffff:ffff:ffff:ffff	0x0f001ee9	8412	70.0	48.208490	16.372080	at	T-Mobile Austria GmbH
2001:4bd0::/32	2001:4bd0::-2001:4bd0:ffff:ffff:ffff:ffff:ffff:ffff	0x4d00045d	3344	70.0	51.527930	-0.107190	gb	Burstfire Networks Ltd
2001:4bd8::/48	2001:4bd8::-2001:4bd8:0:ffff:ffff:ffff:ffff:ffff	0x390008f0	15725	70.0	50.928780	11.589900	de	DE-IKS-JENA
2001:4be0::/32	2001:4be0::-2001:4be0:ffff:ffff:ffff:ffff:ffff:ffff	0xbd00153d	31703	0	59.903264	30.2745349	ru	Mobil-group ltd
2001:4be8::/32	2001:4be8::-2001:4be8:ffff:ffff:ffff:ffff:ffff:ffff	0x4d0002a3	31595	70.0	50.549780	-4.904620	gb	AwellConnected.Com
2001:4bf0::/48	2001:4bf0::-2001:4bf0:0:ffff:ffff:ffff:ffff:ffff	0x4d000267	34623	70.0	51.508530	-0.125740	gb	Astutium Limited
2001:4bf8::/32	2001:4bf8::-2001:4bf8:ffff:ffff:ffff:ffff:ffff:ffff	0x2c001121	8271	70.0	47.366670	8.550000	ch	Internet Business Solutions AG
2001:4c00::/48	2001:4c00::-2001:4c00:0:ffff:ffff:ffff:ffff:ffff	0x6e000a34	34695	70.0	45.630900	11.446700	it	E 4 A S.r.l.
2001:4c0::/32	2001:4c0::-2001:4c0:ffff:ffff:ffff:ffff:ffff:ffff	0x270003a9	855	70.0	45.411170	-75.698120	ca	Bell Canada
2001:4c08::/32	2001:4c08::-2001:4c08:ffff:ffff:ffff:ffff:ffff:ffff	0x4d0012f6	0	70.0	51.508530	-0.125740	gb	Level 3 Communications Ltd
2001:4c10::/48	2001:4c10::-2001:4c10:0:ffff:ffff:ffff:ffff:ffff	0xa4001113	24586	70.0	51.922500	4.479170	nl	Intermax IPv6 network
2001:4c20::/32	2001:4c20::-2001:4c20:ffff:ffff:ffff:ffff:ffff:ffff	0x4d0025a5	29636	70.0	54.583330	-5.933330	gb	catalyst2 Services Limited
2001:4c28::/29	2001:4c28::-2001:4c2f:ffff:ffff:ffff:ffff:ffff:ffff	0xa5001825	39832	70.0	59.912730	10.746090	no	Opera Software AS
2001:4c30::/32	2001:4c30::-2001:4c30:ffff:ffff:ffff:ffff:ffff:ffff	0xb1001c80	9085	70.0	52.229770	21.011780	pl	SUPERMEDIA Sp.z.o.o.
2001:4c38::/29	2001:4c38::-2001:4c3f:ffff:ffff:ffff:ffff:ffff:ffff	0xa4000485	15435	70.0	51.994170	4.209720	nl	CAIW Diensten B.V.
2001:4c40::/48	2001:4c40::-2001:4c40:0:ffff:ffff:ffff:ffff:ffff	0x170003a5	8368	70.0	50.883650	4.472980	be	Belgian Network Solutions B.V.B.A
2001:4c48::/40	2001:4c48::-2001:4c48:ff:ffff:ffff:ffff:ffff:ffff	0x64001444	0	70.0	47.498010	19.039910	hu	Magyar Telekom
2001:4c50::/29	2001:4c50::-2001:4c57:ffff:ffff:ffff:ffff:ffff:ffff	0x39001ffa	35244	70.0	52.524370	13.410530	de	Tele Columbus AG
2001:4c58::/29	2001:4c58::-2001:4c5f:ffff:ffff:ffff:ffff:ffff:ffff	0xb100257d	8286	70.0	52.184350	20.839520	pl	Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
2001:4c60::/32	2001:4c60::-2001:4c60:ffff:ffff:ffff:ffff:ffff:ffff	0x43001836	12386	70.0	40.416500	-3.702560	es	Orange Espagne SA
2001:4c68::/32	2001:4c68::-2001:4c68:ffff:ffff:ffff:ffff:ffff:ffff	0x39000b5c	24989	70.0	50.115520	8.684170	de	Equinix
2001:4c70::/64	2001:4c70::-2001:4c70::ffff:ffff:ffff:ffff	0xb1001991	28678	70.0	54.194380	16.172220	pl	Politechnika Koszalinska
2001:4c78::/32	2001:4c78::-2001:4c78:ffff:ffff:ffff:ffff:ffff:ffff	0x2c002377	12350	70.0	47.182130	8.463580	ch	VTX Services SA
2001:4c80::/48	2001:4c80::-2001:4c80:0:ffff:ffff:ffff:ffff:ffff	0x39001a9a	2857	70.0	49.984190	8.279100	de	RLP-V6-BACKBONE
2001:4c8::/32	2001:4c8::-2001:4c8:ffff:ffff:ffff:ffff:ffff:ffff	0x270001b8	0	70.0	43.700110	-79.416300	ca	Allstream Corp.
2001:4c88::/32	2001:4c88::-2001:4c88:ffff:ffff:ffff:ffff:ffff:ffff	0x6c00196b	49100	70.0	31.897220	54.367500	ir	Pishgaman Kavir Yazd Cooperative
2001:4c90::/48	2001:4c90::-2001:4c90:0:ffff:ffff:ffff:ffff:ffff	0x6e001604	35612	70.0	41.894740	12.483900	it	NGI IPv6 Network
